G,Date,Start (ET),Venue,Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
56,2025-02-21,7:00p,Away,Orlando Magic,W,105,104,37,19,W 1,18945,2:26,2024,MEM
57,2025-02-23,7:00p,Away,Cleveland Cavaliers,L,123,129,37,20,L 1,19432,2:41,2024,MEM
58,2025-02-25,8:00p,Home,Phoenix Suns,W,151,148,38,20,W 1,16202,2:38,2024,MEM
59,2025-02-28,8:00p,Home,New York Knicks,L,113,114,38,21,L 1,17794,2:18,2024,MEM
60,2025-03-01,8:00p,Home,San Antonio Spurs,L,128,130,38,22,L 2,16822,2:18,2024,MEM
61,2025-03-03,8:00p,Home,Atlanta Hawks,L,130,132,38,23,L 3,15719,2:13,2024,MEM
62,2025-03-05,9:30p,Home,Oklahoma City Thunder,L,103,120,38,24,L 4,16723,2:26,2024,MEM
63,2025-03-07,7:30p,Away,Dallas Mavericks,W,122,111,39,24,W 1,20010,2:12,2024,MEM
64,2025-03-09,7:00p,Away,New Orleans Pelicans,W,107,104,40,24,W 2,17435,2:20,2024,MEM
65,2025-03-10,8:00p,Home,Phoenix Suns,W,120,118,41,24,W 3,16545,2:33,2024,MEM
66,2025-03-12,8:00p,Home,Utah Jazz,W,122,115,42,24,W 4,16232,2:13,2024,MEM
67,2025-03-14,8:00p,Home,Cleveland Cavaliers,L,124,133,42,25,L 1,17051,2:19,2024,MEM
68,2025-03-15,8:00p,Home,Miami Heat,W,125,91,43,25,W 1,17794,2:03,2024,MEM
69,2025-03-17,10:00p,Away,Sacramento Kings,L,122,132,43,26,L 1,16205,2:16,2024,MEM
70,2025-03-19,10:00p,Away,Portland Trail Blazers,L,99,115,43,27,L 2,18491,2:11,2024,MEM
71,2025-03-21,10:30p,Away,Los Angeles Clippers,L,108,128,43,28,L 3,17927,2:09,2024,MEM
72,2025-03-25,9:00p,Away,Utah Jazz,W,140,103,44,28,W 1,18175,2:07,2024,MEM
73,2025-03-27,8:00p,Away,Oklahoma City Thunder,L,104,125,44,29,L 1,18203,2:15,2024,MEM
74,2025-03-29,8:00p,Home,Los Angeles Lakers,L,127,134,44,30,L 2,18087,2:22,2024,MEM
75,2025-03-31,7:30p,Home,Boston Celtics,L,103,117,44,31,L 3,16867,2:13,2024,MEM
76,2025-04-01,8:00p,Home,Golden State Warriors,L,125,134,44,32,L 4,17794,2:21,2024,MEM
77,2025-04-03,7:30p,Away,Miami Heat,W,110,108,45,32,W 1,19700,2:21,2024,MEM
78,2025-04-05,7:00p,Away,Detroit Pistons,W,109,103,46,32,W 2,20062,2:23,2024,MEM
79,2025-04-08,7:00p,Away,Charlotte Hornets,W,124,100,47,32,W 3,17125,2:27,2024,MEM
80,2025-04-10,9:30p,Home,Minnesota Timberwolves,L,125,141,47,33,L 1,17007,2:27,2024,MEM
81,2025-04-11,9:00p,Away,Denver Nuggets,L,109,117,47,34,L 2,20015,2:11,2024,MEM
82,2025-04-13,3:30p,Home,Dallas Mavericks,W,132,97,48,34,W 1,17794,1:59,2024,MEM
83,2025-04-15,10:00p,Away,Golden State Warriors,L,116,121,48,35,L 1,18064,2:46,2024,MEM
84,2025-04-18,9:30p,Home,Dallas Mavericks,W,120,106,49,35,W 1,17794,2:20,2024,MEM
1,2024-10-24,10:00p,Home,Minnesota Timberwolves,L,115,117,0,1,L 1,18049,2:22,2024,SAC
2,2024-10-26,10:30p,Away,Los Angeles Lakers,L,127,131,0,2,L 2,18997,2:18,2024,SAC
3,2024-10-28,10:00p,Home,Portland Trail Blazers,W,111,98,1,2,W 1,16426,2:26,2024,SAC
4,2024-10-29,9:00p,Away,Utah Jazz,W,113,96,2,2,W 2,18175,1:59,2024,SAC
5,2024-11-01,7:30p,Away,Atlanta Hawks,W,123,115,3,2,W 3,15156,2:16,2024,SAC
6,2024-11-02,7:30p,Away,Toronto Raptors,L,128,131,3,3,L 1,19815,2:58,2024,SAC
7,2024-11-04,8:15p,Away,Miami Heat,W,111,110,4,3,W 1,19604,2:20,2024,SAC
8,2024-11-06,10:00p,Home,Toronto Raptors,W,122,107,5,3,W 2,16026,2:11,2024,SAC
9,2024-11-08,10:00p,Home,Los Angeles Clippers,L,98,107,5,4,L 1,17832,2:26,2024,SAC
10,2024-11-10,8:00p,Away,Phoenix Suns,W,127,118,6,4,W 1,17071,2:31,2024,SAC
11,2024-11-11,8:00p,Away,San Antonio Spurs,L,96,116,6,5,L 1,17163,2:03,2024,SAC
12,2024-11-13,10:00p,Home,Phoenix Suns,W,127,104,7,5,W 1,16204,2:02,2024,SAC
13,2024-11-15,10:00p,Home,Minnesota Timberwolves,L,126,130,7,6,L 1,16478,2:25,2024,SAC
14,2024-11-16,10:00p,Home,Utah Jazz,W,121,117,8,6,W 1,16568,2:35,2024,SAC
15,2024-11-18,10:00p,Home,Atlanta Hawks,L,108,109,8,7,L 1,16333,2:10,2024,SAC
16,2024-11-22,10:30p,Away,Los Angeles Clippers,L,88,104,8,8,L 2,16228,,2024,SAC
17,2024-11-24,9:00p,Home,Brooklyn Nets,L,103,108,8,9,L 3,16750,2:24,2024,SAC
18,2024-11-25,10:00p,Home,Oklahoma City Thunder,L,109,130,8,10,L 4,17832,2:11,2024,SAC
19,2024-11-27,8:00p,Away,Minnesota Timberwolves,W,115,104,9,10,W 1,18978,2:17,2024,SAC
20,2024-11-29,10:00p,Away,Portland Trail Blazers,L,106,115,9,11,L 1,17565,2:12,2024,SAC
21,2024-12-01,9:00p,Home,San Antonio Spurs,L,125,127,9,12,L 2,16014,2:18,2024,SAC
22,2024-12-03,10:00p,Home,Houston Rockets,W,120,111,10,12,W 1,15019,2:21,2024,SAC
23,2024-12-05,8:00p,Away,Memphis Grizzlies,L,110,115,10,13,L 1,15776,2:28,2024,SAC
24,2024-12-06,8:00p,Away,San Antonio Spurs,W,140,113,11,13,W 1,16796,2:13,2024,SAC
25,2024-12-08,9:00p,Home,Utah Jazz,W,141,97,12,13,W 2,15706,2:09,2024,SAC
26,2024-12-12,8:00p,Away,New Orleans Pelicans,W,111,109,13,13,W 3,15488,2:12,2024,SAC
27,2024-12-16,10:00p,Home,Denver Nuggets,L,129,130,13,14,L 1,16936,2:19,2024,SAC
28,2024-12-19,10:00p,Home,Los Angeles Lakers,L,100,113,13,15,L 2,17832,2:18,2024,SAC
29,2024-12-21,6:00p,Home,Los Angeles Lakers,L,99,103,13,16,L 3,17832,2:13,2024,SAC
30,2024-12-22,6:00p,Home,Indiana Pacers,L,95,122,13,17,L 4,17832,2:00,2024,SAC
31,2024-12-26,10:00p,Home,Detroit Pistons,L,113,114,13,18,L 5,17832,2:22,2024,SAC
32,2024-12-28,10:30p,Away,Los Angeles Lakers,L,122,132,13,19,L 6,18997,2:15,2024,SAC
33,2024-12-30,10:00p,Home,Dallas Mavericks,W,110,100,14,19,W 1,16844,2:19,2024,SAC
34,2025-01-01,10:00p,Home,Philadelphia 76ers,W,113,107,15,19,W 2,16024,2:18,2024,SAC
35,2025-01-03,10:00p,Home,Memphis Grizzlies,W,138,133,16,19,W 3,16601,2:25,2024,SAC
36,2025-01-05,8:30p,Away,Golden State Warriors,W,129,99,17,19,W 4,18064,2:08,2024,SAC
37,2025-01-06,10:00p,Home,Miami Heat,W,123,118,18,19,W 5,17832,2:43,2024,SAC
38,2025-01-10,7:30p,Away,Boston Celtics,W,114,97,19,19,W 6,19156,2:00,2024,SAC
39,2025-01-12,3:30p,Away,Chicago Bulls,W,124,119,20,19,W 7,18233,2:06,2024,SAC
40,2025-01-14,8:00p,Away,Milwaukee Bucks,L,115,130,20,20,L 1,17341,2:08,2024,SAC
41,2025-01-16,10:00p,Home,Houston Rockets,W,132,127,21,20,W 1,18227,2:21,2024,SAC
42,2025-01-19,9:00p,Home,Washington Wizards,W,123,100,22,20,W 2,17832,2:15,2024,SAC
43,2025-01-22,10:00p,Home,Golden State Warriors,W,123,117,23,20,W 3,17832,2:22,2024,SAC
44,2025-01-23,9:00p,Away,Denver Nuggets,L,123,132,23,21,L 1,19676,2:12,2024,SAC
45,2025-01-25,7:30p,Away,New York Knicks,L,120,143,23,22,L 2,19812,2:22,2024,SAC
46,2025-01-27,7:30p,Away,Brooklyn Nets,W,110,96,24,22,W 1,16093,2:18,2024,SAC
47,2025-01-29,7:30p,Away,Philadelphia 76ers,L,104,117,24,23,L 1,19770,2:08,2024,SAC
48,2025-02-01,8:00p,Away,Oklahoma City Thunder,L,110,144,24,24,L 2,18203,2:02,2024,SAC
49,2025-02-03,8:00p,Away,Minnesota Timberwolves,W,116,114,25,24,W 1,18978,2:16,2024,SAC
50,2025-02-05,10:00p,Home,Orlando Magic,L,111,130,25,25,L 1,18074,2:13,2024,SAC
51,2025-02-06,10:00p,Away,Portland Trail Blazers,L,102,108,25,26,L 2,16953,2:08,2024,SAC
52,2025-02-08,10:00p,Home,New Orleans Pelicans,W,123,118,26,26,W 1,17832,2:25,2024,SAC
53,2025-02-10,8:30p,Away,Dallas Mavericks,W,129,128,27,26,W 2,19726,2:33,2024,SAC
54,2025-02-12,8:00p,Away,New Orleans Pelicans,W,119,111,28,26,W 3,17444,2:14,2024,SAC
55,2025-02-13,8:00p,Away,New Orleans Pelicans,L,133,140,28,27,L 1,16686,2:39,2024,SAC
56,2025-02-21,10:00p,Home,Golden State Warriors,L,108,132,28,28,L 2,18098,2:08,2024,SAC
57,2025-02-24,10:00p,Home,Charlotte Hornets,W,130,88,29,28,W 1,17832,2:13,2024,SAC
58,2025-02-26,9:00p,Away,Utah Jazz,W,118,101,30,28,W 2,18175,2:03,2024,SAC
59,2025-03-01,8:00p,Away,Houston Rockets,W,113,103,31,28,W 3,18055,2:10,2024,SAC
60,2025-03-03,8:30p,Away,Dallas Mavericks,W,122,98,32,28,W 4,19711,2:05,2024,SAC
61,2025-03-05,9:00p,Away,Denver Nuggets,L,110,116,32,29,L 1,19618,2:18,2024,SAC
62,2025-03-07,10:00p,Home,San Antonio Spurs,W,127,109,33,29,W 1,18332,2:12,2024,SAC
63,2025-03-09,9:30p,Away,Los Angeles Clippers,L,110,111,33,30,L 1,17927,2:37,2024,SAC
64,2025-03-10,10:30p,Home,New York Knicks,L,104,133,33,31,L 2,16539,2:22,2024,SAC
65,2025-03-13,10:00p,Away,Golden State Warriors,L,104,130,33,32,L 3,18064,2:18,2024,SAC
66,2025-03-14,10:00p,Away,Phoenix Suns,L,106,122,33,33,L 4,17071,2:12,2024,SAC
67,2025-03-17,10:00p,Home,Memphis Grizzlies,W,132,122,34,33,W 1,16205,2:16,2024,SAC
68,2025-03-19,10:00p,Home,Cleveland Cavaliers,W,123,119,35,33,W 2,15919,2:10,2024,SAC
69,2025-03-20,10:00p,Home,Chicago Bulls,L,116,128,35,34,L 1,16960,2:18,2024,SAC
70,2025-03-22,10:00p,Home,Milwaukee Bucks,L,108,114,35,35,L 2,16911,2:10,2024,SAC
71,2025-03-24,10:00p,Home,Boston Celtics,L,95,113,35,36,L 3,15855,2:11,2024,SAC
72,2025-03-25,10:00p,Home,Oklahoma City Thunder,L,105,121,35,37,L 4,16060,2:17,2024,SAC
73,2025-03-27,10:00p,Home,Portland Trail Blazers,W,128,107,36,37,W 1,16671,2:11,2024,SAC
74,2025-03-29,5:00p,Away,Orlando Magic,L,91,121,36,38,L 1,18846,2:06,2024,SAC
75,2025-03-31,7:00p,Away,Indiana Pacers,L,109,111,36,39,L 2,16341,2:07,2024,SAC
76,2025-04-02,7:00p,Away,Washington Wizards,L,111,116,36,40,L 3,15018,2:16,2024,SAC
77,2025-04-04,7:00p,Away,Charlotte Hornets,W,125,102,37,40,W 1,15896,2:10,2024,SAC
78,2025-04-06,6:00p,Away,Cleveland Cavaliers,W,120,113,38,40,W 2,19432,2:16,2024,SAC
79,2025-04-07,7:00p,Away,Detroit Pistons,W,127,117,39,40,W 3,19208,2:24,2024,SAC
80,2025-04-09,10:00p,Home,Denver Nuggets,L,116,124,39,41,L 1,16161,2:22,2024,SAC
81,2025-04-11,10:00p,Home,Los Angeles Clippers,L,100,101,39,42,L 2,16435,2:19,2024,SAC
82,2025-04-13,3:30p,Home,Phoenix Suns,W,109,98,40,42,W 1,17832,1:52,2024,SAC
83,2025-04-16,10:00p,Home,Dallas Mavericks,L,106,120,40,43,L 1,17939,2:20,2024,SAC
1,2024-10-24,7:30p,Home,San Antonio Spurs,W,120,109,1,0,W 1,20373,2:18,2024,DAL
2,2024-10-26,10:00p,Away,Phoenix Suns,L,102,114,1,1,L 1,17071,2:22,2024,DAL
3,2024-10-28,8:30p,Home,Utah Jazz,W,110,102,2,1,W 1,19811,2:16,2024,DAL
4,2024-10-29,7:30p,Away,Minnesota Timberwolves,W,120,114,3,1,W 2,18978,2:24,2024,DAL
5,2024-10-31,8:30p,Home,Houston Rockets,L,102,108,3,2,L 1,20011,2:21,2024,DAL
6,2024-11-03,7:30p,Home,Orlando Magic,W,108,85,4,2,W 1,19977,2:19,2024,DAL
7,2024-11-04,9:45p,Home,Indiana Pacers,L,127,134,4,3,L 1,19613,2:12,2024,DAL
8,2024-11-06,8:30p,Home,Chicago Bulls,W,119,99,5,3,W 1,20011,2:09,2024,DAL
9,2024-11-08,7:30p,Home,Phoenix Suns,L,113,114,5,4,L 1,20277,2:21,2024,DAL
10,2024-11-10,8:00p,Away,Denver Nuggets,L,120,122,5,5,L 2,19908,2:11,2024,DAL
11,2024-11-12,10:00p,Away,Golden State Warriors,L,117,120,5,6,L 3,18064,2:25,2024,DAL
12,2024-11-14,9:00p,Away,Utah Jazz,L,113,115,5,7,L 4,18175,2:10,2024,DAL
13,2024-11-16,8:30p,Home,San Antonio Spurs,W,110,93,6,7,W 1,20311,2:10,2024,DAL
14,2024-11-17,7:00p,Away,Oklahoma City Thunder,W,121,119,7,7,W 2,18203,2:33,2024,DAL
15,2024-11-19,8:30p,Home,New Orleans Pelicans,W,132,91,8,7,W 3,20077,2:08,2024,DAL
16,2024-11-22,10:00p,Away,Denver Nuggets,W,123,120,9,7,W 4,19923,2:29,2024,DAL
17,2024-11-24,6:00p,Away,Miami Heat,L,118,123,9,8,L 1,19714,2:30,2024,DAL
18,2024-11-25,7:30p,Away,Atlanta Hawks,W,129,119,10,8,W 1,17186,2:07,2024,DAL
19,2024-11-27,7:30p,Home,New York Knicks,W,129,114,11,8,W 2,20413,2:17,2024,DAL
20,2024-11-30,9:30p,Away,Utah Jazz,W,106,94,12,8,W 3,18175,2:04,2024,DAL
21,2024-12-01,9:00p,Away,Portland Trail Blazers,W,137,131,13,8,W 4,16205,2:11,2024,DAL
22,2024-12-03,8:30p,Home,Memphis Grizzlies,W,121,116,14,8,W 5,20277,2:35,2024,DAL
23,2024-12-05,7:00p,Away,Washington Wizards,W,137,101,15,8,W 6,15921,2:08,2024,DAL
24,2024-12-07,7:30p,Away,Toronto Raptors,W,125,118,16,8,W 7,19625,2:11,2024,DAL
26,2024-12-15,8:30p,Away,Golden State Warriors,W,143,133,17,9,W 1,18064,2:14,2024,DAL
27,2024-12-19,8:30p,Home,Los Angeles Clippers,L,95,118,17,10,L 1,20044,2:14,2024,DAL
28,2024-12-21,8:30p,Home,Los Angeles Clippers,W,113,97,18,10,W 1,20102,2:10,2024,DAL
29,2024-12-23,8:30p,Home,Portland Trail Blazers,W,132,108,19,10,W 2,20225,2:15,2024,DAL
30,2024-12-25,2:30p,Home,Minnesota Timberwolves,L,99,105,19,11,L 1,20341,2:20,2024,DAL
31,2024-12-27,9:00p,Away,Phoenix Suns,W,98,89,20,11,W 1,17071,2:20,2024,DAL
32,2024-12-28,10:00p,Away,Portland Trail Blazers,L,122,126,20,12,L 1,19335,2:17,2024,DAL
33,2024-12-30,10:00p,Away,Sacramento Kings,L,100,110,20,13,L 2,16844,2:19,2024,DAL
34,2025-01-01,8:00p,Away,Houston Rockets,L,99,110,20,14,L 3,18055,2:17,2024,DAL
35,2025-01-03,8:30p,Home,Cleveland Cavaliers,L,122,134,20,15,L 4,20231,2:10,2024,DAL
36,2025-01-06,8:00p,Away,Memphis Grizzlies,L,104,119,20,16,L 5,16412,2:12,2024,DAL
37,2025-01-07,7:30p,Home,Los Angeles Lakers,W,118,97,21,16,W 1,20126,2:09,2024,DAL
38,2025-01-09,7:30p,Home,Portland Trail Blazers,W,117,111,22,16,W 2,19241,2:15,2024,DAL
39,2025-01-12,3:00p,Home,Denver Nuggets,L,101,112,22,17,L 1,20031,2:12,2024,DAL
40,2025-01-14,9:30p,Home,Denver Nuggets,L,99,118,22,18,L 2,19798,2:17,2024,DAL
41,2025-01-15,8:00p,Away,New Orleans Pelicans,L,116,119,22,19,L 3,16488,2:13,2024,DAL
42,2025-01-17,8:30p,Home,Oklahoma City Thunder,W,106,98,23,19,W 1,20311,2:31,2024,DAL
43,2025-01-20,12:00p,Away,Charlotte Hornets,L,105,110,23,20,L 1,19314,2:21,2024,DAL
44,2025-01-22,7:30p,Home,Minnesota Timberwolves,L,114,115,23,21,L 2,20025,2:30,2024,DAL
45,2025-01-23,8:00p,Away,Oklahoma City Thunder,W,121,115,24,21,W 1,18203,2:31,2024,DAL
46,2025-01-25,5:30p,Home,Boston Celtics,L,107,122,24,22,L 1,20421,2:27,2024,DAL
47,2025-01-27,8:30p,Home,Washington Wizards,W,130,108,25,22,W 1,20031,1:59,2024,DAL
48,2025-01-29,8:00p,Away,New Orleans Pelicans,W,137,136,26,22,W 2,15656,2:14,2024,DAL
49,2025-01-31,7:00p,Away,Detroit Pistons,L,102,117,26,23,L 1,20062,2:06,2024,DAL
50,2025-02-02,3:30p,Away,Cleveland Cavaliers,L,101,144,26,24,L 2,19432,1:59,2024,DAL
51,2025-02-04,7:00p,Away,Philadelphia 76ers,L,116,118,26,25,L 3,19756,2:17,2024,DAL
52,2025-02-06,7:30p,Away,Boston Celtics,W,127,120,27,25,W 1,19156,2:09,2024,DAL
53,2025-02-08,3:00p,Home,Houston Rockets,W,116,105,28,25,W 2,20303,2:25,2024,DAL
54,2025-02-10,8:30p,Home,Sacramento Kings,L,128,129,28,26,L 1,19726,2:33,2024,DAL
55,2025-02-12,9:30p,Home,Golden State Warriors,W,111,107,29,26,W 1,20311,2:29,2024,DAL
56,2025-02-13,8:30p,Home,Miami Heat,W,118,113,30,26,W 2,19935,2:11,2024,DAL
57,2025-02-21,8:30p,Home,New Orleans Pelicans,W,111,103,31,26,W 3,20125,2:15,2024,DAL
58,2025-02-23,3:30p,Away,Golden State Warriors,L,102,126,31,27,L 1,18064,2:15,2024,DAL
59,2025-02-25,10:00p,Away,Los Angeles Lakers,L,99,107,31,28,L 2,18997,2:16,2024,DAL
60,2025-02-27,8:30p,Home,Charlotte Hornets,W,103,96,32,28,W 1,20009,2:08,2024,DAL
61,2025-03-01,8:30p,Home,Milwaukee Bucks,L,117,132,32,29,L 1,20272,2:16,2024,DAL
62,2025-03-03,8:30p,Home,Sacramento Kings,L,98,122,32,30,L 2,19711,2:05,2024,DAL
63,2025-03-05,8:00p,Away,Milwaukee Bucks,L,107,137,32,31,L 3,17341,1:55,2024,DAL
64,2025-03-07,7:30p,Home,Memphis Grizzlies,L,111,122,32,32,L 4,20010,2:12,2024,DAL
65,2025-03-09,3:30p,Home,Phoenix Suns,L,116,125,32,33,L 5,20013,2:05,2024,DAL
66,2025-03-10,8:30p,Away,San Antonio Spurs,W,133,129,33,33,W 1,17735,2:16,2024,DAL
67,2025-03-12,8:00p,Away,San Antonio Spurs,L,116,126,33,34,L 1,18354,2:07,2024,DAL
68,2025-03-14,8:00p,Away,Houston Rockets,L,96,133,33,35,L 2,16612,1:54,2024,DAL
69,2025-03-16,1:00p,Home,Philadelphia 76ers,L,125,130,33,36,L 3,19825,2:11,2024,DAL
70,2025-03-19,7:00p,Away,Indiana Pacers,L,131,135,33,37,L 4,15078,2:30,2024,DAL
71,2025-03-21,8:30p,Home,Detroit Pistons,W,123,117,34,37,W 1,20071,2:27,2024,DAL
72,2025-03-24,7:30p,Away,Brooklyn Nets,W,120,101,35,37,W 2,16434,1:58,2024,DAL
73,2025-03-25,7:30p,Away,New York Knicks,L,113,128,35,38,L 1,19812,2:05,2024,DAL
74,2025-03-27,7:00p,Away,Orlando Magic,W,101,92,36,38,W 1,17269,2:11,2024,DAL
75,2025-03-29,8:00p,Away,Chicago Bulls,W,120,119,37,38,W 2,21045,2:14,2024,DAL
76,2025-03-31,8:30p,Home,Brooklyn Nets,L,109,113,37,39,L 1,19790,2:17,2024,DAL
77,2025-04-02,8:30p,Home,Atlanta Hawks,W,120,118,38,39,W 1,,2:14,2024,DAL
78,2025-04-04,10:30p,Away,Los Angeles Clippers,L,91,114,38,40,L 1,17927,2:06,2024,DAL
79,2025-04-05,10:30p,Away,Los Angeles Clippers,L,104,135,38,41,L 2,17927,2:11,2024,DAL
80,2025-04-09,7:30p,Home,Los Angeles Lakers,L,97,112,38,42,L 3,20841,2:17,2024,DAL
81,2025-04-11,8:30p,Home,Toronto Raptors,W,124,102,39,42,W 1,20177,1:58,2024,DAL
82,2025-04-13,3:30p,Away,Memphis Grizzlies,L,97,132,39,43,L 1,17794,1:59,2024,DAL
83,2025-04-16,10:00p,Away,Sacramento Kings,W,120,106,40,43,W 1,17939,2:20,2024,DAL
84,2025-04-18,9:30p,Away,Memphis Grizzlies,L,106,120,40,44,L 1,17794,2:20,2024,DAL
1,2024-10-23,10:00p,Away,Los Angeles Clippers,W,116,113,1,0,W 1,18300,2:45,2024,PHO
2,2024-10-25,10:00p,Away,Los Angeles Lakers,L,116,123,1,1,L 1,18997,2:17,2024,PHO
3,2024-10-26,10:00p,Home,Dallas Mavericks,W,114,102,2,1,W 1,17071,2:22,2024,PHO
4,2024-10-28,10:00p,Home,Los Angeles Lakers,W,109,105,3,1,W 2,17071,2:17,2024,PHO
5,2024-10-31,10:30p,Away,Los Angeles Clippers,W,125,119,4,1,W 3,16827,2:15,2024,PHO
6,2024-11-02,10:00p,Home,Portland Trail Blazers,W,103,97,5,1,W 4,17071,2:08,2024,PHO
7,2024-11-04,10:15p,Home,Philadelphia 76ers,W,118,116,6,1,W 5,17071,2:18,2024,PHO
8,2024-11-06,9:00p,Home,Miami Heat,W,115,112,7,1,W 6,17071,2:20,2024,PHO
9,2024-11-08,7:30p,Away,Dallas Mavericks,W,114,113,8,1,W 7,20277,2:21,2024,PHO
10,2024-11-10,8:00p,Home,Sacramento Kings,L,118,127,8,2,L 1,17071,2:31,2024,PHO
11,2024-11-12,9:00p,Away,Utah Jazz,W,120,112,9,2,W 1,18175,2:05,2024,PHO
12,2024-11-13,10:00p,Away,Sacramento Kings,L,104,127,9,3,L 1,16204,2:02,2024,PHO
13,2024-11-15,8:00p,Away,Oklahoma City Thunder,L,83,99,9,4,L 2,18203,2:17,2024,PHO
14,2024-11-17,3:30p,Away,Minnesota Timberwolves,L,117,120,9,5,L 3,18978,2:16,2024,PHO
15,2024-11-18,9:00p,Home,Orlando Magic,L,99,109,9,6,L 4,17071,2:21,2024,PHO
16,2024-11-20,10:00p,Home,New York Knicks,L,122,138,9,7,L 5,17071,2:16,2024,PHO
17,2024-11-26,10:00p,Home,Los Angeles Lakers,W,127,100,10,7,W 1,17071,2:18,2024,PHO
18,2024-11-27,9:00p,Home,Brooklyn Nets,L,117,127,10,8,L 1,17071,2:23,2024,PHO
19,2024-11-30,9:00p,Home,Golden State Warriors,W,113,105,11,8,W 1,17071,2:11,2024,PHO
20,2024-12-03,9:00p,Home,San Antonio Spurs,W,104,93,12,8,W 2,17071,2:15,2024,PHO
21,2024-12-05,8:00p,Away,New Orleans Pelicans,L,124,126,12,9,L 1,16365,2:21,2024,PHO
22,2024-12-07,8:00p,Away,Miami Heat,L,111,121,12,10,L 2,19600,2:13,2024,PHO
23,2024-12-08,6:30p,Away,Orlando Magic,L,110,115,12,11,L 3,18311,2:23,2024,PHO
24,2024-12-13,9:30p,Away,Utah Jazz,W,134,126,13,11,W 1,18175,2:11,2024,PHO
25,2024-12-15,8:00p,Home,Portland Trail Blazers,W,116,109,14,11,W 2,17071,2:06,2024,PHO
26,2024-12-19,9:00p,Home,Indiana Pacers,L,111,120,14,12,L 1,17071,2:17,2024,PHO
27,2024-12-21,9:00p,Home,Detroit Pistons,L,125,133,14,13,L 2,17071,2:22,2024,PHO
28,2024-12-23,10:00p,Away,Denver Nuggets,L,90,117,14,14,L 3,19910,2:05,2024,PHO
29,2024-12-25,10:30p,Home,Denver Nuggets,W,110,100,15,14,W 1,17071,2:15,2024,PHO
30,2024-12-27,9:00p,Home,Dallas Mavericks,L,89,98,15,15,L 1,17071,2:20,2024,PHO
31,2024-12-28,8:30p,Away,Golden State Warriors,L,105,109,15,16,L 2,18064,2:18,2024,PHO
32,2024-12-31,9:00p,Home,Memphis Grizzlies,L,112,117,15,17,L 3,17071,2:27,2024,PHO
33,2025-01-04,7:00p,Away,Indiana Pacers,L,108,126,15,18,L 4,17274,2:07,2024,PHO
34,2025-01-06,7:00p,Away,Philadelphia 76ers,W,109,99,16,18,W 1,19791,2:16,2024,PHO
35,2025-01-07,7:00p,Away,Charlotte Hornets,L,104,115,16,19,L 1,16647,2:16,2024,PHO
36,2025-01-09,9:00p,Home,Atlanta Hawks,W,123,115,17,19,W 1,17071,2:12,2024,PHO
37,2025-01-11,5:00p,Home,Utah Jazz,W,114,106,18,19,W 2,17071,2:10,2024,PHO
38,2025-01-12,9:00p,Home,Charlotte Hornets,W,120,113,19,19,W 3,17071,2:16,2024,PHO
39,2025-01-14,7:30p,Away,Atlanta Hawks,L,117,122,19,20,L 1,16221,2:11,2024,PHO
40,2025-01-16,7:00p,Away,Washington Wizards,W,130,123,20,20,W 1,15792,2:19,2024,PHO
41,2025-01-18,4:00p,Away,Detroit Pistons,W,125,121,21,20,W 2,20062,2:27,2024,PHO
42,2025-01-20,3:30p,Away,Cleveland Cavaliers,L,92,118,21,21,L 1,19432,2:14,2024,PHO
43,2025-01-22,7:30p,Away,Brooklyn Nets,W,108,84,22,21,W 1,17077,2:03,2024,PHO
44,2025-01-25,9:00p,Home,Washington Wizards,W,119,109,23,21,W 2,17071,2:07,2024,PHO
45,2025-01-27,9:30p,Home,Los Angeles Clippers,W,111,109,24,21,W 3,17071,2:12,2024,PHO
46,2025-01-29,9:00p,Home,Minnesota Timberwolves,L,113,121,24,22,L 1,17071,2:25,2024,PHO
47,2025-01-31,10:00p,Away,Golden State Warriors,W,130,105,25,22,W 1,18064,,2024,PHO
48,2025-02-01,10:00p,Away,Portland Trail Blazers,L,108,127,25,23,L 1,17421,2:11,2024,PHO
49,2025-02-03,10:00p,Away,Portland Trail Blazers,L,119,121,25,24,L 2,16205,2:34,2024,PHO
50,2025-02-05,9:30p,Away,Oklahoma City Thunder,L,109,140,25,25,L 3,17451,2:19,2024,PHO
51,2025-02-07,10:00p,Home,Utah Jazz,W,135,127,26,25,W 1,17071,2:24,2024,PHO
52,2025-02-08,9:00p,Home,Denver Nuggets,L,105,122,26,26,L 1,17071,2:04,2024,PHO
53,2025-02-11,10:00p,Home,Memphis Grizzlies,L,112,119,26,27,L 2,17071,2:30,2024,PHO
54,2025-02-12,8:30p,Away,Houston Rockets,L,111,119,26,28,L 3,16227,2:06,2024,PHO
55,2025-02-20,9:30p,Away,San Antonio Spurs,L,109,120,26,29,L 4,16246,2:25,2024,PHO
56,2025-02-22,5:00p,Away,Chicago Bulls,W,121,117,27,29,W 1,21116,2:06,2024,PHO
57,2025-02-23,6:00p,Away,Toronto Raptors,L,109,127,27,30,L 1,18989,2:15,2024,PHO
58,2025-02-25,8:00p,Away,Memphis Grizzlies,L,148,151,27,31,L 2,16202,2:38,2024,PHO
59,2025-02-27,9:00p,Home,New Orleans Pelicans,L,116,124,27,32,L 3,17071,1:58,2024,PHO
