G,Date,Start (ET),Venue,Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
22,2024-12-05,7:30p,Home,Charlotte Hornets,W,125,101,14,8,W 4,19812,2:08,2024,NYK
23,2024-12-07,7:30p,Home,Detroit Pistons,L,111,120,14,9,L 1,19812,2:15,2024,NYK
24,2024-12-09,7:30p,Away,Toronto Raptors,W,113,108,15,9,W 1,18284,2:17,2024,NYK
26,2024-12-15,6:00p,Away,Orlando Magic,W,100,91,16,10,W 1,17029,2:22,2024,NYK
27,2024-12-19,9:30p,Away,Minnesota Timberwolves,W,133,107,17,10,W 2,18978,2:13,2024,NYK
28,2024-12-21,8:00p,Away,New Orleans Pelicans,W,104,93,18,10,W 3,16696,2:07,2024,NYK
29,2024-12-23,7:30p,Home,Toronto Raptors,W,139,125,19,10,W 4,19812,2:19,2024,NYK
30,2024-12-25,12:00p,Home,San Antonio Spurs,W,117,114,20,10,W 5,19812,2:19,2024,NYK
31,2024-12-27,7:00p,Away,Orlando Magic,W,108,85,21,10,W 6,18961,2:23,2024,NYK
32,2024-12-28,7:00p,Away,Washington Wizards,W,136,132,22,10,W 7,20385,2:28,2024,NYK
33,2024-12-30,7:00p,Away,Washington Wizards,W,126,106,23,10,W 8,20385,2:10,2024,NYK
34,2025-01-01,7:30p,Home,Utah Jazz,W,119,103,24,10,W 9,19812,2:06,2024,NYK
35,2025-01-03,8:00p,Away,Oklahoma City Thunder,L,107,117,24,11,L 1,18203,2:13,2024,NYK
36,2025-01-04,8:00p,Away,Chicago Bulls,L,126,139,24,12,L 2,22491,2:23,2024,NYK
37,2025-01-06,7:30p,Home,Orlando Magic,L,94,103,24,13,L 3,19812,2:16,2024,NYK
38,2025-01-08,7:30p,Home,Toronto Raptors,W,112,98,25,13,W 1,19812,2:11,2024,NYK
39,2025-01-10,7:30p,Home,Oklahoma City Thunder,L,101,126,25,14,L 1,19812,2:06,2024,NYK
40,2025-01-12,3:00p,Home,Milwaukee Bucks,W,140,106,26,14,W 1,19812,2:14,2024,NYK
41,2025-01-13,7:30p,Home,Detroit Pistons,L,119,124,26,15,L 1,19812,2:17,2024,NYK
42,2025-01-15,7:00p,Away,Philadelphia 76ers,W,125,119,27,15,W 1,20088,2:34,2024,NYK
43,2025-01-17,7:30p,Home,Minnesota Timberwolves,L,99,116,27,16,L 1,19812,2:07,2024,NYK
44,2025-01-20,3:00p,Home,Atlanta Hawks,W,119,110,28,16,W 1,19812,2:24,2024,NYK
45,2025-01-21,7:30p,Away,Brooklyn Nets,W,99,95,29,16,W 2,17926,2:26,2024,NYK
46,2025-01-25,7:30p,Home,Sacramento Kings,W,143,120,30,16,W 3,19812,2:22,2024,NYK
47,2025-01-27,7:30p,Home,Memphis Grizzlies,W,143,106,31,16,W 4,19812,2:04,2024,NYK
48,2025-01-29,7:30p,Home,Denver Nuggets,W,122,112,32,16,W 5,19812,2:20,2024,NYK
49,2025-02-01,8:30p,Home,Los Angeles Lakers,L,112,128,32,17,L 1,19812,2:18,2024,NYK
50,2025-02-03,7:30p,Home,Houston Rockets,W,124,118,33,17,W 1,19812,2:29,2024,NYK
51,2025-02-04,7:30p,Away,Toronto Raptors,W,121,115,34,17,W 2,17398,2:15,2024,NYK
52,2025-02-08,8:30p,Home,Boston Celtics,L,104,131,34,18,L 1,19812,2:13,2024,NYK
53,2025-02-11,7:30p,Away,Indiana Pacers,W,128,115,35,18,W 1,16685,2:26,2024,NYK
54,2025-02-12,7:30p,Home,Atlanta Hawks,W,149,148,36,18,W 2,19812,2:54,2024,NYK
55,2025-02-20,7:30p,Home,Chicago Bulls,W,113,111,37,18,W 3,19812,2:22,2024,NYK
56,2025-02-21,7:00p,Away,Cleveland Cavaliers,L,105,142,37,19,L 1,19432,2:09,2024,NYK
57,2025-02-23,1:00p,Away,Boston Celtics,L,105,118,37,20,L 2,19156,2:06,2024,NYK
58,2025-02-26,7:00p,Home,Philadelphia 76ers,W,110,105,38,20,W 1,19812,2:25,2024,NYK
59,2025-02-28,8:00p,Away,Memphis Grizzlies,W,114,113,39,20,W 2,17794,2:18,2024,NYK
