,G,Date,Start (ET),Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
67,65,"Wed, Mar 13, 2024",10:00p,Los Angeles Lakers,W,120,107,38,27,W 2,18332,2:14,2024,SAC
68,66,"Sat, Mar 16, 2024",10:00p,New York Knicks,L,91,98,38,28,L 1,18311,2:21,2024,SAC
69,67,"Mon, Mar 18, 2024",10:00p,Memphis Grizzlies,W,121,111,39,28,W 1,17832,2:44,2024,SAC
70,68,"Wed, Mar 20, 2024",7:30p,Toronto Raptors,W,123,89,40,28,W 2,18641,2:05,2024,SAC
71,69,"Thu, Mar 21, 2024",7:00p,Washington Wizards,L,102,109,40,29,L 1,14495,2:15,2024,SAC
72,70,"Sat, Mar 23, 2024",7:00p,Orlando Magic,W,109,107,41,29,W 1,18307,2:18,2024,SAC
73,71,"Mon, Mar 25, 2024",10:00p,Philadelphia 76ers,W,108,96,42,29,W 2,17832,2:21,2024,SAC
74,72,"Tue, Mar 26, 2024",10:00p,Dallas Mavericks,L,96,132,42,30,L 1,17832,2:10,2024,SAC
75,73,"Fri, Mar 29, 2024",10:00p,Dallas Mavericks,L,103,107,42,31,L 2,17832,2:13,2024,SAC
76,74,"Sun, Mar 31, 2024",9:00p,Utah Jazz,W,127,106,43,31,W 1,18332,2:13,2024,SAC
77,75,"Tue, Apr 2, 2024",10:00p,Los Angeles Clippers,W,109,95,44,31,W 2,17832,2:12,2024,SAC
78,76,"Thu, Apr 4, 2024",7:30p,New York Knicks,L,109,120,44,32,L 1,19812,2:28,2024,SAC
79,77,"Fri, Apr 5, 2024",7:30p,Boston Celtics,L,100,101,44,33,L 2,19156,2:03,2024,SAC
80,78,"Sun, Apr 7, 2024",7:30p,Brooklyn Nets,W,107,77,45,33,W 1,17732,2:06,2024,SAC
81,79,"Tue, Apr 9, 2024",8:00p,Oklahoma City Thunder,L,105,112,45,34,L 1,17509,2:17,2024,SAC
82,80,"Thu, Apr 11, 2024",10:00p,New Orleans Pelicans,L,123,135,45,35,L 2,17832,2:17,2024,SAC
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,SAC
84,81,"Fri, Apr 12, 2024",10:30p,Phoenix Suns,L,107,108,45,36,L 3,17832,2:16,2024,SAC
85,82,"Sun, Apr 14, 2024",3:30p,Portland Trail Blazers,W,121,82,46,36,W 1,18037,2:06,2024,SAC
86,83,"Tue, Apr 16, 2024",10:00p,Golden State Warriors,W,118,94,47,36,W 2,18304,2:21,2024,SAC
87,84,"Fri, Apr 19, 2024",9:30p,New Orleans Pelicans,L,98,105,47,37,L 1,18656,2:22,2024,SAC
0,1,"Tue, Oct 24, 2023",10:00p,Phoenix Suns,L,104,108,0,1,L 1,18064,2:33,2024,GSW
1,2,"Fri, Oct 27, 2023",10:00p,Sacramento Kings,W,122,114,1,1,W 1,18250,2:22,2024,GSW
2,3,"Sun, Oct 29, 2023",7:00p,Houston Rockets,W,106,95,2,1,W 2,18055,2:17,2024,GSW
3,4,"Mon, Oct 30, 2023",8:00p,New Orleans Pelicans,W,130,102,3,1,W 3,17286,2:08,2024,GSW
4,5,"Wed, Nov 1, 2023",10:00p,Sacramento Kings,W,102,101,4,1,W 4,18064,2:14,2024,GSW
5,6,"Fri, Nov 3, 2023",8:00p,Oklahoma City Thunder,W,141,139,5,1,W 5,16827,2:39,2024,GSW
6,7,"Sun, Nov 5, 2023",6:00p,Cleveland Cavaliers,L,104,115,5,2,L 1,19432,2:17,2024,GSW
7,8,"Mon, Nov 6, 2023",7:00p,Detroit Pistons,W,120,109,6,2,W 1,20062,2:09,2024,GSW
8,9,"Wed, Nov 8, 2023",10:00p,Denver Nuggets,L,105,108,6,3,L 1,19737,2:20,2024,GSW
9,10,"Sat, Nov 11, 2023",8:30p,Cleveland Cavaliers,L,110,118,6,4,L 2,18064,2:49,2024,GSW
10,11,"Sun, Nov 12, 2023",8:30p,Minnesota Timberwolves,L,110,116,6,5,L 3,18064,2:25,2024,GSW
11,12,"Tue, Nov 14, 2023",10:00p,Minnesota Timberwolves,L,101,104,6,6,L 4,18064,2:24,2024,GSW
12,13,"Thu, Nov 16, 2023",10:00p,Oklahoma City Thunder,L,109,128,6,7,L 5,18064,2:09,2024,GSW
13,14,"Sat, Nov 18, 2023",8:30p,Oklahoma City Thunder,L,123,130,6,8,L 6,18064,2:27,2024,GSW
14,15,"Mon, Nov 20, 2023",10:00p,Houston Rockets,W,121,116,7,8,W 1,18064,2:09,2024,GSW
15,16,"Wed, Nov 22, 2023",10:00p,Phoenix Suns,L,115,123,7,9,L 1,17071,2:45,2024,GSW
16,17,"Fri, Nov 24, 2023",10:00p,San Antonio Spurs,W,118,112,8,9,W 1,18064,2:35,2024,GSW
17,18,"Tue, Nov 28, 2023",10:00p,Sacramento Kings,L,123,124,8,10,L 1,18039,2:44,2024,GSW
18,19,"Thu, Nov 30, 2023",10:00p,Los Angeles Clippers,W,120,114,9,10,W 1,18064,2:23,2024,GSW
19,20,"Sat, Dec 2, 2023",4:00p,Los Angeles Clippers,L,112,113,9,11,L 1,19370,2:20,2024,GSW
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,GSW
21,21,"Wed, Dec 6, 2023",10:00p,Portland Trail Blazers,W,110,106,10,11,W 1,18064,2:20,2024,GSW
22,22,"Fri, Dec 8, 2023",8:00p,Oklahoma City Thunder,L,136,138,10,12,L 1,17112,2:37,2024,GSW
23,23,"Tue, Dec 12, 2023",10:00p,Phoenix Suns,L,116,119,10,13,L 2,17071,2:38,2024,GSW
24,24,"Thu, Dec 14, 2023",10:30p,Los Angeles Clippers,L,113,121,10,14,L 3,19370,2:18,2024,GSW
25,25,"Sat, Dec 16, 2023",8:30p,Brooklyn Nets,W,124,120,11,14,W 1,18064,2:14,2024,GSW
26,26,"Sun, Dec 17, 2023",9:00p,Portland Trail Blazers,W,118,114,12,14,W 2,18547,2:14,2024,GSW
27,27,"Tue, Dec 19, 2023",10:00p,Boston Celtics,W,132,126,13,14,W 3,18064,2:25,2024,GSW
28,28,"Fri, Dec 22, 2023",10:00p,Washington Wizards,W,129,118,14,14,W 4,18064,2:16,2024,GSW
29,29,"Sat, Dec 23, 2023",8:30p,Portland Trail Blazers,W,126,106,15,14,W 5,18064,2:10,2024,GSW
30,30,"Mon, Dec 25, 2023",2:30p,Denver Nuggets,L,114,120,15,15,L 1,19811,2:27,2024,GSW
31,31,"Thu, Dec 28, 2023",10:00p,Miami Heat,L,102,114,15,16,L 2,18064,2:18,2024,GSW
32,32,"Sat, Dec 30, 2023",8:30p,Dallas Mavericks,L,122,132,15,17,L 3,18064,2:13,2024,GSW
33,33,"Tue, Jan 2, 2024",10:00p,Orlando Magic,W,121,115,16,17,W 1,18064,2:33,2024,GSW
34,34,"Thu, Jan 4, 2024",10:00p,Denver Nuggets,L,127,130,16,18,L 1,18064,2:22,2024,GSW
35,35,"Fri, Jan 5, 2024",10:00p,Detroit Pistons,W,113,109,17,18,W 1,18064,2:19,2024,GSW
36,36,"Sun, Jan 7, 2024",8:30p,Toronto Raptors,L,118,133,17,19,L 1,18064,2:00,2024,GSW
37,37,"Wed, Jan 10, 2024",8:30p,New Orleans Pelicans,L,105,141,17,20,L 2,18064,2:13,2024,GSW
38,38,"Fri, Jan 12, 2024",8:00p,Chicago Bulls,W,140,131,18,20,W 1,21153,2:19,2024,GSW
39,39,"Sat, Jan 13, 2024",8:00p,Milwaukee Bucks,L,118,129,18,21,L 1,18009,2:08,2024,GSW
40,40,"Mon, Jan 15, 2024",6:00p,Memphis Grizzlies,L,107,116,18,22,L 2,16612,2:22,2024,GSW
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,GSW
42,41,"Wed, Jan 24, 2024",10:00p,Atlanta Hawks,W,134,112,19,22,W 1,18064,2:08,2024,GSW
43,42,"Thu, Jan 25, 2024",10:00p,Sacramento Kings,L,133,134,19,23,L 1,18064,2:24,2024,GSW
44,43,"Sat, Jan 27, 2024",8:30p,Los Angeles Lakers,L,144,145,19,24,L 2,18064,3:17,2024,GSW
45,44,"Tue, Jan 30, 2024",10:00p,Philadelphia 76ers,W,119,107,20,24,W 1,18064,2:22,2024,GSW
46,45,"Fri, Feb 2, 2024",8:00p,Memphis Grizzlies,W,121,101,21,24,W 2,17794,2:20,2024,GSW
47,46,"Sat, Feb 3, 2024",7:30p,Atlanta Hawks,L,134,141,21,25,L 1,17600,2:31,2024,GSW
48,47,"Mon, Feb 5, 2024",7:30p,Brooklyn Nets,W,109,98,22,25,W 1,17919,2:21,2024,GSW
49,48,"Wed, Feb 7, 2024",7:30p,Philadelphia 76ers,W,127,104,23,25,W 2,19780,2:14,2024,GSW
50,49,"Thu, Feb 8, 2024",7:00p,Indiana Pacers,W,131,109,24,25,W 3,17274,2:08,2024,GSW
51,50,"Sat, Feb 10, 2024",8:30p,Phoenix Suns,W,113,112,25,25,W 4,18064,2:25,2024,GSW
52,51,"Mon, Feb 12, 2024",9:00p,Utah Jazz,W,129,107,26,25,W 5,18206,2:06,2024,GSW
53,52,"Wed, Feb 14, 2024",10:00p,Los Angeles Clippers,L,125,130,26,26,L 1,18064,2:33,2024,GSW
54,53,"Thu, Feb 15, 2024",9:00p,Utah Jazz,W,140,137,27,26,W 1,18206,2:14,2024,GSW
55,54,"Thu, Feb 22, 2024",10:00p,Los Angeles Lakers,W,128,110,28,26,W 2,18064,2:15,2024,GSW
56,55,"Fri, Feb 23, 2024",10:00p,Charlotte Hornets,W,97,84,29,26,W 3,18064,2:08,2024,GSW
57,56,"Sun, Feb 25, 2024",7:00p,Denver Nuggets,L,103,119,29,27,L 1,18064,2:21,2024,GSW
58,57,"Tue, Feb 27, 2024",7:00p,Washington Wizards,W,123,112,30,27,W 1,20333,2:01,2024,GSW
59,58,"Thu, Feb 29, 2024",7:30p,New York Knicks,W,110,99,31,27,W 2,19812,2:18,2024,GSW
60,59,"Fri, Mar 1, 2024",7:30p,Toronto Raptors,W,120,105,32,27,W 3,19800,2:10,2024,GSW
61,60,"Sun, Mar 3, 2024",3:30p,Boston Celtics,L,88,140,32,28,L 1,19156,2:07,2024,GSW
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,GSW
63,61,"Wed, Mar 6, 2024",10:00p,Milwaukee Bucks,W,125,90,33,28,W 1,18064,2:11,2024,GSW
64,62,"Thu, Mar 7, 2024",10:00p,Chicago Bulls,L,122,125,33,29,L 1,18064,2:17,2024,GSW
65,63,"Sat, Mar 9, 2024",8:30p,San Antonio Spurs,L,113,126,33,30,L 2,18064,2:24,2024,GSW
66,64,"Mon, Mar 11, 2024",8:00p,San Antonio Spurs,W,112,102,34,30,W 1,18354,2:05,2024,GSW
67,65,"Wed, Mar 13, 2024",8:30p,Dallas Mavericks,L,99,109,34,31,L 1,20411,2:13,2024,GSW
68,66,"Sat, Mar 16, 2024",8:30p,Los Angeles Lakers,W,128,121,35,31,W 1,18997,2:25,2024,GSW
69,67,"Mon, Mar 18, 2024",10:00p,New York Knicks,L,112,119,35,32,L 1,18064,2:18,2024,GSW
70,68,"Wed, Mar 20, 2024",10:00p,Memphis Grizzlies,W,137,116,36,32,W 1,18064,2:12,2024,GSW
71,69,"Fri, Mar 22, 2024",10:00p,Indiana Pacers,L,111,123,36,33,L 1,18064,2:13,2024,GSW
72,70,"Sun, Mar 24, 2024",7:00p,Minnesota Timberwolves,L,110,114,36,34,L 2,18024,2:19,2024,GSW
73,71,"Tue, Mar 26, 2024",7:30p,Miami Heat,W,113,92,37,34,W 1,19813,2:10,2024,GSW
74,72,"Wed, Mar 27, 2024",7:00p,Orlando Magic,W,101,93,38,34,W 2,19210,2:11,2024,GSW
75,73,"Fri, Mar 29, 2024",7:00p,Charlotte Hornets,W,115,97,39,34,W 3,19487,2:03,2024,GSW
76,74,"Sun, Mar 31, 2024",7:00p,San Antonio Spurs,W,117,113,40,34,W 4,18718,2:10,2024,GSW
77,75,"Tue, Apr 2, 2024",10:00p,Dallas Mavericks,W,104,100,41,34,W 5,18064,2:20,2024,GSW
78,76,"Thu, Apr 4, 2024",8:00p,Houston Rockets,W,133,110,42,34,W 6,18055,2:13,2024,GSW
79,77,"Fri, Apr 5, 2024",8:30p,Dallas Mavericks,L,106,108,42,35,L 1,20425,2:21,2024,GSW
80,78,"Sun, Apr 7, 2024",8:30p,Utah Jazz,W,118,110,43,35,W 1,18064,2:07,2024,GSW
81,79,"Tue, Apr 9, 2024",10:00p,Los Angeles Lakers,W,134,120,44,35,W 2,18997,2:15,2024,GSW
82,80,"Thu, Apr 11, 2024",10:00p,Portland Trail Blazers,W,100,92,45,35,W 3,19335,2:04,2024,GSW
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,GSW
84,81,"Fri, Apr 12, 2024",10:00p,New Orleans Pelicans,L,109,114,45,36,L 1,18064,2:13,2024,GSW
85,82,"Sun, Apr 14, 2024",3:30p,Utah Jazz,W,123,116,46,36,W 1,18064,2:04,2024,GSW
86,83,"Tue, Apr 16, 2024",10:00p,Sacramento Kings,L,94,118,46,37,L 1,18304,2:21,2024,GSW
0,1,"Wed, Oct 25, 2023",7:00p,Orlando Magic,L,86,116,0,1,L 1,18846,2:14,2024,HOU
1,2,"Fri, Oct 27, 2023",8:00p,San Antonio Spurs,L,122,126,0,2,L 2,18354,2:38,2024,HOU
2,3,"Sun, Oct 29, 2023",7:00p,Golden State Warriors,L,95,106,0,3,L 3,18055,2:17,2024,HOU
3,4,"Wed, Nov 1, 2023",8:00p,Charlotte Hornets,W,128,119,1,3,W 1,16263,2:08,2024,HOU
4,5,"Sat, Nov 4, 2023",8:00p,Sacramento Kings,W,107,89,2,3,W 2,18055,2:07,2024,HOU
5,6,"Mon, Nov 6, 2023",8:00p,Sacramento Kings,W,122,97,3,3,W 3,15130,2:17,2024,HOU
6,7,"Wed, Nov 8, 2023",8:00p,Los Angeles Lakers,W,128,94,4,3,W 4,18055,2:11,2024,HOU
7,8,"Fri, Nov 10, 2023",8:00p,New Orleans Pelicans,W,104,101,5,3,W 5,16236,2:28,2024,HOU
8,9,"Sun, Nov 12, 2023",7:00p,Denver Nuggets,W,107,104,6,3,W 6,18055,2:10,2024,HOU
9,10,"Fri, Nov 17, 2023",10:30p,Los Angeles Clippers,L,100,106,6,4,L 1,19370,2:27,2024,HOU
10,11,"Sun, Nov 19, 2023",9:30p,Los Angeles Lakers,L,104,105,6,5,L 2,18997,2:21,2024,HOU
11,12,"Mon, Nov 20, 2023",10:00p,Golden State Warriors,L,116,121,6,6,L 3,18064,2:09,2024,HOU
12,13,"Wed, Nov 22, 2023",8:00p,Memphis Grizzlies,W,111,91,7,6,W 1,18055,2:17,2024,HOU
13,14,"Fri, Nov 24, 2023",8:00p,Denver Nuggets,W,105,86,8,6,W 2,18055,2:07,2024,HOU
14,15,"Tue, Nov 28, 2023",8:30p,Dallas Mavericks,L,115,121,8,7,L 1,20103,2:35,2024,HOU
15,16,"Wed, Nov 29, 2023",9:00p,Denver Nuggets,L,124,134,8,8,L 2,19590,2:07,2024,HOU
16,17,"Sat, Dec 2, 2023",10:30p,Los Angeles Lakers,L,97,107,8,9,L 3,18997,2:17,2024,HOU
17,18,"Wed, Dec 6, 2023",8:00p,Oklahoma City Thunder,W,110,101,9,9,W 1,16291,2:10,2024,HOU
18,19,"Fri, Dec 8, 2023",9:00p,Denver Nuggets,W,114,106,10,9,W 2,19544,2:28,2024,HOU
19,20,"Mon, Dec 11, 2023",8:00p,San Antonio Spurs,W,93,82,11,9,W 3,16481,2:07,2024,HOU
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,HOU
21,21,"Wed, Dec 13, 2023",8:00p,Memphis Grizzlies,W,117,104,12,9,W 4,16813,2:19,2024,HOU
22,22,"Fri, Dec 15, 2023",8:00p,Memphis Grizzlies,W,103,96,13,9,W 5,16941,2:20,2024,HOU
23,23,"Sun, Dec 17, 2023",7:00p,Milwaukee Bucks,L,119,128,13,10,L 1,17341,2:21,2024,HOU
24,24,"Mon, Dec 18, 2023",7:00p,Cleveland Cavaliers,L,130,135,13,11,L 2,19432,2:41,2024,HOU
25,25,"Wed, Dec 20, 2023",8:00p,Atlanta Hawks,L,127,134,13,12,L 3,18055,2:17,2024,HOU
26,26,"Fri, Dec 22, 2023",8:00p,Dallas Mavericks,W,122,96,14,12,W 1,18055,2:09,2024,HOU
27,27,"Sat, Dec 23, 2023",7:00p,New Orleans Pelicans,W,106,104,15,12,W 2,17399,2:26,2024,HOU
28,28,"Tue, Dec 26, 2023",8:00p,Indiana Pacers,L,117,123,15,13,L 1,18055,2:16,2024,HOU
29,29,"Wed, Dec 27, 2023",8:00p,Phoenix Suns,L,113,129,15,14,L 2,18055,2:14,2024,HOU
30,30,"Fri, Dec 29, 2023",8:00p,Philadelphia 76ers,L,127,131,15,15,L 3,18055,2:17,2024,HOU
31,31,"Mon, Jan 1, 2024",8:00p,Detroit Pistons,W,136,113,16,15,W 1,18055,2:06,2024,HOU
32,32,"Wed, Jan 3, 2024",8:00p,Brooklyn Nets,W,112,101,17,15,W 2,16563,2:15,2024,HOU
33,33,"Fri, Jan 5, 2024",8:00p,Minnesota Timberwolves,L,95,122,17,16,L 1,18055,2:04,2024,HOU
34,34,"Sat, Jan 6, 2024",8:00p,Milwaukee Bucks,W,112,108,18,16,W 1,18055,2:37,2024,HOU
35,35,"Mon, Jan 8, 2024",7:30p,Miami Heat,L,113,120,18,17,L 1,19694,2:19,2024,HOU
36,36,"Wed, Jan 10, 2024",8:00p,Chicago Bulls,L,119,124,18,18,L 2,21149,2:36,2024,HOU
37,37,"Fri, Jan 12, 2024",7:30p,Detroit Pistons,W,112,110,19,18,W 1,13987,2:10,2024,HOU
38,38,"Sat, Jan 13, 2024",7:00p,Boston Celtics,L,113,145,19,19,L 1,19156,2:06,2024,HOU
39,39,"Mon, Jan 15, 2024",1:00p,Philadelphia 76ers,L,115,124,19,20,L 2,20822,2:25,2024,HOU
40,40,"Wed, Jan 17, 2024",7:30p,New York Knicks,L,94,109,19,21,L 3,19439,2:15,2024,HOU
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,HOU
42,41,"Sat, Jan 20, 2024",8:00p,Utah Jazz,W,127,126,20,21,W 1,16618,2:41,2024,HOU
43,42,"Sun, Jan 21, 2024",7:00p,Boston Celtics,L,107,116,20,22,L 1,18055,2:09,2024,HOU
44,43,"Wed, Jan 24, 2024",8:00p,Portland Trail Blazers,L,131,137,20,23,L 2,18055,2:25,2024,HOU
45,44,"Fri, Jan 26, 2024",7:00p,Charlotte Hornets,W,138,104,21,23,W 1,16164,2:14,2024,HOU
46,45,"Sat, Jan 27, 2024",6:00p,Brooklyn Nets,L,104,106,21,24,L 1,17732,2:26,2024,HOU
47,46,"Mon, Jan 29, 2024",8:00p,Los Angeles Lakers,W,135,119,22,24,W 1,18055,2:12,2024,HOU
48,47,"Wed, Jan 31, 2024",8:00p,New Orleans Pelicans,L,99,110,22,25,L 1,18055,2:14,2024,HOU
49,48,"Fri, Feb 2, 2024",8:00p,Toronto Raptors,W,135,106,23,25,W 1,18055,2:03,2024,HOU
50,49,"Sun, Feb 4, 2024",7:00p,Minnesota Timberwolves,L,90,111,23,26,L 1,18024,2:15,2024,HOU
51,50,"Tue, Feb 6, 2024",7:00p,Indiana Pacers,L,129,132,23,27,L 2,15571,2:09,2024,HOU
52,51,"Fri, Feb 9, 2024",7:30p,Toronto Raptors,L,104,107,23,28,L 3,19800,2:19,2024,HOU
53,52,"Sat, Feb 10, 2024",7:30p,Atlanta Hawks,L,113,122,23,29,L 4,17503,2:19,2024,HOU
54,53,"Mon, Feb 12, 2024",8:00p,New York Knicks,W,105,103,24,29,W 1,16790,2:22,2024,HOU
55,54,"Wed, Feb 14, 2024",8:00p,Memphis Grizzlies,L,113,121,24,30,L 1,15012,2:22,2024,HOU
56,55,"Thu, Feb 22, 2024",8:00p,New Orleans Pelicans,L,105,127,24,31,L 2,17421,2:18,2024,HOU
57,56,"Fri, Feb 23, 2024",8:00p,Phoenix Suns,W,114,110,25,31,W 1,18055,2:32,2024,HOU
58,57,"Sun, Feb 25, 2024",7:00p,Oklahoma City Thunder,L,110,123,25,32,L 1,18055,2:11,2024,HOU
59,58,"Tue, Feb 27, 2024",10:00p,Oklahoma City Thunder,L,95,112,25,33,L 2,17164,2:16,2024,HOU
60,59,"Thu, Feb 29, 2024",9:00p,Phoenix Suns,L,105,110,25,34,L 3,17071,2:26,2024,HOU
61,60,"Sat, Mar 2, 2024",9:00p,Phoenix Suns,W,118,109,26,34,W 1,17071,2:34,2024,HOU
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,HOU
63,61,"Tue, Mar 5, 2024",8:00p,San Antonio Spurs,W,114,101,27,34,W 2,16734,2:06,2024,HOU
64,62,"Wed, Mar 6, 2024",7:30p,Los Angeles Clippers,L,116,122,27,35,L 1,17033,2:19,2024,HOU
65,63,"Fri, Mar 8, 2024",10:00p,Portland Trail Blazers,W,123,107,28,35,W 1,18139,2:06,2024,HOU
66,64,"Sun, Mar 10, 2024",6:00p,Sacramento Kings,W,112,104,29,35,W 2,18022,2:18,2024,HOU
67,65,"Tue, Mar 12, 2024",8:30p,San Antonio Spurs,W,103,101,30,35,W 3,18751,2:14,2024,HOU
68,66,"Thu, Mar 14, 2024",8:00p,Washington Wizards,W,135,119,31,35,W 4,18055,2:05,2024,HOU
69,67,"Sat, Mar 16, 2024",5:00p,Cleveland Cavaliers,W,117,103,32,35,W 5,18055,2:01,2024,HOU
70,68,"Tue, Mar 19, 2024",7:00p,Washington Wizards,W,137,114,33,35,W 6,14137,2:11,2024,HOU
71,69,"Thu, Mar 21, 2024",8:00p,Chicago Bulls,W,127,117,34,35,W 7,17016,2:19,2024,HOU
72,70,"Sat, Mar 23, 2024",8:00p,Utah Jazz,W,147,119,35,35,W 8,18055,2:10,2024,HOU
73,71,"Mon, Mar 25, 2024",8:00p,Portland Trail Blazers,W,110,92,36,35,W 9,16537,2:09,2024,HOU
74,72,"Wed, Mar 27, 2024",8:00p,Oklahoma City Thunder,W,132,126,37,35,W 10,17438,2:33,2024,HOU
75,73,"Fri, Mar 29, 2024",9:30p,Utah Jazz,W,101,100,38,35,W 11,18206,2:12,2024,HOU
76,74,"Sun, Mar 31, 2024",7:00p,Dallas Mavericks,L,107,125,38,36,L 1,18055,1:58,2024,HOU
77,75,"Tue, Apr 2, 2024",8:00p,Minnesota Timberwolves,L,106,113,38,37,L 2,18024,2:13,2024,HOU
78,76,"Thu, Apr 4, 2024",8:00p,Golden State Warriors,L,110,133,38,38,L 3,18055,2:13,2024,HOU
79,77,"Fri, Apr 5, 2024",8:00p,Miami Heat,L,104,119,38,39,L 4,18055,2:03,2024,HOU
80,78,"Sun, Apr 7, 2024",3:30p,Dallas Mavericks,L,136,147,38,40,L 5,20317,2:48,2024,HOU
81,79,"Tue, Apr 9, 2024",8:00p,Orlando Magic,W,118,106,39,40,W 1,18055,2:11,2024,HOU
82,80,"Thu, Apr 11, 2024",9:00p,Utah Jazz,L,121,124,39,41,L 1,18206,2:18,2024,HOU
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,HOU
84,81,"Fri, Apr 12, 2024",10:00p,Portland Trail Blazers,W,116,107,40,41,W 1,18630,2:07,2024,HOU
85,82,"Sun, Apr 14, 2024",3:30p,Los Angeles Clippers,W,116,105,41,41,W 2,19370,1:55,2024,HOU
0,1,"Wed, Oct 25, 2023",9:00p,Sacramento Kings,L,114,130,0,1,L 1,18206,2:18,2024,UTA
1,2,"Fri, Oct 27, 2023",9:30p,Los Angeles Clippers,W,120,118,1,1,W 1,18206,2:15,2024,UTA
2,3,"Sat, Oct 28, 2023",10:00p,Phoenix Suns,L,104,126,1,2,L 1,17071,2:13,2024,UTA
3,4,"Mon, Oct 30, 2023",9:00p,Denver Nuggets,L,102,110,1,3,L 2,19671,2:11,2024,UTA
4,5,"Wed, Nov 1, 2023",9:00p,Memphis Grizzlies,W,133,109,2,3,W 1,18206,2:22,2024,UTA
5,6,"Thu, Nov 2, 2023",9:00p,Orlando Magic,L,113,115,2,4,L 1,18206,2:34,2024,UTA
6,7,"Sat, Nov 4, 2023",8:00p,Minnesota Timberwolves,L,95,123,2,5,L 2,18024,2:10,2024,UTA
7,8,"Mon, Nov 6, 2023",8:00p,Chicago Bulls,L,113,130,2,6,L 3,18031,2:06,2024,UTA
8,9,"Wed, Nov 8, 2023",7:00p,Indiana Pacers,L,118,134,2,7,L 4,14509,2:09,2024,UTA
9,10,"Fri, Nov 10, 2023",8:00p,Memphis Grizzlies,W,127,121,3,7,W 1,16977,2:21,2024,UTA
10,11,"Tue, Nov 14, 2023",9:00p,Portland Trail Blazers,W,115,99,4,7,W 2,18206,2:03,2024,UTA
11,12,"Fri, Nov 17, 2023",10:00p,Phoenix Suns,L,128,131,4,8,L 1,18206,2:28,2024,UTA
12,13,"Sun, Nov 19, 2023",8:00p,Phoenix Suns,L,137,140,4,9,L 2,18206,2:51,2024,UTA
13,14,"Tue, Nov 21, 2023",10:00p,Los Angeles Lakers,L,99,131,4,10,L 3,18997,2:09,2024,UTA
14,15,"Wed, Nov 22, 2023",10:00p,Portland Trail Blazers,L,105,121,4,11,L 4,17819,2:07,2024,UTA
15,16,"Sat, Nov 25, 2023",9:30p,New Orleans Pelicans,W,105,100,5,11,W 1,18206,2:10,2024,UTA
16,17,"Mon, Nov 27, 2023",9:00p,New Orleans Pelicans,W,114,112,6,11,W 2,18206,2:17,2024,UTA
17,18,"Wed, Nov 29, 2023",8:00p,Memphis Grizzlies,L,91,105,6,12,L 1,15327,2:06,2024,UTA
18,19,"Thu, Nov 30, 2023",8:00p,Minnesota Timberwolves,L,90,101,6,13,L 2,18024,2:03,2024,UTA
19,20,"Sat, Dec 2, 2023",9:30p,Portland Trail Blazers,W,118,113,7,13,W 1,18206,2:28,2024,UTA
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,UTA
21,21,"Wed, Dec 6, 2023",8:30p,Dallas Mavericks,L,97,147,7,14,L 1,19877,2:02,2024,UTA
22,22,"Fri, Dec 8, 2023",10:00p,Los Angeles Clippers,L,103,117,7,15,L 2,18206,2:21,2024,UTA
23,23,"Mon, Dec 11, 2023",8:00p,Oklahoma City Thunder,L,120,134,7,16,L 3,16631,2:03,2024,UTA
24,24,"Wed, Dec 13, 2023",9:00p,New York Knicks,W,117,113,8,16,W 1,18206,2:29,2024,UTA
25,25,"Thu, Dec 14, 2023",10:00p,Portland Trail Blazers,W,122,114,9,16,W 2,17842,2:07,2024,UTA
26,26,"Sat, Dec 16, 2023",10:00p,Sacramento Kings,L,104,125,9,17,L 1,17794,2:06,2024,UTA
27,27,"Mon, Dec 18, 2023",9:00p,Brooklyn Nets,W,125,108,10,17,W 1,18206,2:10,2024,UTA
28,28,"Wed, Dec 20, 2023",7:00p,Cleveland Cavaliers,L,116,124,10,18,L 1,19432,2:07,2024,UTA
29,29,"Thu, Dec 21, 2023",7:00p,Detroit Pistons,W,119,111,11,18,W 1,18122,2:08,2024,UTA
30,30,"Sat, Dec 23, 2023",7:30p,Toronto Raptors,W,126,119,12,18,W 2,19420,2:06,2024,UTA
31,31,"Tue, Dec 26, 2023",8:00p,San Antonio Spurs,W,130,118,13,18,W 3,18579,2:16,2024,UTA
32,32,"Thu, Dec 28, 2023",8:00p,New Orleans Pelicans,L,105,112,13,19,L 1,17753,2:07,2024,UTA
